Node Name,Entrez Gene ID,source,source id,type,,
RPL11,6135,GO,GO:0016070,biological process,,
RPL11,6135,GO,GO:0016071,biological process,,
RPL11,6135,GO,GO:0019058,biological process,,
RPL11,6135,GO,GO:0019083,biological process,,
RPL11,6135,GO,GO:0034504,biological process,,
RPL11,6135,GO,GO:0042273,biological process,,
RPL11,6135,GO,GO:0044267,biological process,,
AR,367,Entrez,367,,,
AR,367,OMIM,313700,,,
AR,367,GO,GO:0001085,molecular function,,
AR,367,GO,GO:0003677,molecular function,,
AR,367,GO,GO:0003682,molecular function,,
AR,367,GO,GO:0003700,molecular function,,
AR,367,GO,GO:0003707,molecular function,,
AR,367,GO,GO:0004879,molecular function,,
AR,367,GO,GO:0004882,molecular function,,
AR,367,GO,GO:0005102,molecular function,,
AR,367,GO,GO:0005496,molecular function,,
AR,367,GO,GO:0005497,molecular function,,
AR,367,GO,GO:0005515,molecular function,,
AR,367,GO,GO:0008013,molecular function,,
AR,367,GO,GO:0008134,molecular function,,
AR,367,GO,GO:0008270,molecular function,,
AR,367,GO,GO:0019899,molecular function,,
AR,367,GO,GO:0019904,molecular function,,
AR,367,GO,GO:0043565,molecular function,,
AR,367,GO,GO:0044212,molecular function,,
AR,367,GO,GO:0046983,molecular function,,
AR,367,GO,GO:0050681,molecular function,,
AR,367,GO,GO:0070974,molecular function,,
AR,367,GO,GO:0000790,localization,,
AR,367,GO,GO:0005634,localization,,
AR,367,GO,GO:0005654,localization,,
AR,367,GO,GO:0005737,localization,,
AR,367,GO,GO:0005886,localization,,
AR,367,GO,GO:0030424,localization,,
AR,367,GO,GO:0030425,localization,,
AR,367,GO,GO:0043234,localization,,
AR,367,GO,GO:0001701,biological process,,
AR,367,GO,GO:0003073,biological process,,
AR,367,GO,GO:0006351,biological process,,
AR,367,GO,GO:0006355,biological process,,
AR,367,GO,GO:0006357,biological process,,
AR,367,GO,GO:0006367,biological process,,
AR,367,GO,GO:0006810,biological process,,
AR,367,GO,GO:0007165,biological process,,
AR,367,GO,GO:0007267,biological process,,
AR,367,GO,GO:0007283,biological process,,
AR,367,GO,GO:0007548,biological process,,
AR,367,GO,GO:0008219,biological process,,
AR,367,GO,GO:0008283,biological process,,
AR,367,GO,GO:0008284,biological process,,
AR,367,GO,GO:0008584,biological process,,
AR,367,GO,GO:0009987,biological process,,
AR,367,GO,GO:0010467,biological process,,
AR,367,GO,GO:0010468,biological process,,
AR,367,GO,GO:0016049,biological process,,
AR,367,GO,GO:0019102,biological process,,
AR,367,GO,GO:0030521,biological process,,
AR,367,GO,GO:0030522,biological process,,
AR,367,GO,GO:0030850,biological process,,
AR,367,GO,GO:0032868,biological process,,
AR,367,GO,GO:0033148,biological process,,
AR,367,GO,GO:0042327,biological process,,
AR,367,GO,GO:0043401,biological process,,
AR,367,GO,GO:0043410,biological process,,
AR,367,GO,GO:0043568,biological process,,
AR,367,GO,GO:0045720,biological process,,
AR,367,GO,GO:0045726,biological process,,
AR,367,GO,GO:0045893,biological process,,
AR,367,GO,GO:0045944,biological process,,
AR,367,GO,GO:0045945,biological process,,
AR,367,GO,GO:0046661,biological process,,
AR,367,GO,GO:0048608,biological process,,
AR,367,GO,GO:0048638,biological process,,
AR,367,GO,GO:0048645,biological process,,
AR,367,GO,GO:0048808,biological process,,
AR,367,GO,GO:0050680,biological process,,
AR,367,GO,GO:0050790,biological process,,
AR,367,GO,GO:0051092,biological process,,
AR,367,GO,GO:0051259,biological process,,
