Gene,Entrez,Fold change
KIAA0825,285600,-1.1117189
PPFIA2,8499,-1.1086721
CASQ1,844,-1.1086474
CPLX1,10815,-1.1076618
ABLIM3,22885,-1.1075037
COBLL1,22837,-1.1060442
C1orf61,10485,-1.1059466
RAB3GAP1,22930,-1.1059405
MYOF,26509,-1.1040483
CPB1,1360,-1.1038034
KLF8,11279,-1.1021758
ZNF501,115560,-1.1017006
EPB42,2038,-1.1011238
MGAT5B,146664,-1.0999819
PLCZ1,89869,-1.0996598
SLC46A1,113235,-1.0985294
ENTPD5,957,-1.0942527
RFT1,91869,-1.093468
RRP7B,91695,-1.0928632
SLC25A35,399512,-1.0922852
SYNE1,23345,-1.0919258
ZC3H7B,23264,-1.0915006
SRGAP1,57522,-1.0908863
TMPRSS11A,339967,-1.0905224
GSTT1,2952,-1.0901806
XIST,7503,-1.0898618
SOHLH2,54937,-1.0870645
KRT222,125113,-1.0852167
MYEOV,26579,-1.0843802
SREK1,140890,-1.0822281
SNORD14E,85391,-1.0769165
RASA1,5921,-1.0767571
PHF21B,112885,-1.0747835
SLC47A2,146802,-1.0743193
CHURC1,91612,-1.0743137
PURA,5813,-1.073791
LAMA2,3908,-1.0729608
TAPT1,202018,-1.0725275
ABI3BP,25890,-1.0724742
TTC39A,22996,-1.0692889
CCDC110,256309,-1.0684025
GIGYF2,26058,-1.0683976
NUDT16P1,152195,-1.0682839
CLIP4,79745,-1.0679501
FAM95B1,100133036,-1.0675143
JMJD7,100137047,-1.0616917
SH3BGRL,6451,-1.0594455
CPEB2,132864,-1.0593144
C10orf107,219621,-1.0540712
ATP10D,57205,-1.0536024
GIPC2,54810,-1.0525775
MAGED2,10916,-1.0520696
LMOD1,25802,-1.0518633
RBM47,54502,-1.0514906
WWOX,51741,-1.0493318
MED12L,116931,-1.0490595
OR10A2,341276,-1.0485339
ALOX12P2,245,-1.0476122
ARHGAP26,23092,-1.0458491
N4BP2,55728,-1.0452444
NPFF,8620,-1.0452329
DRICH1,51233,-1.0424937
UNC5C,8633,-1.0421354
USP31,57478,-1.0414297
BMS1P5,399761,-1.0410135
HEXIM1,10614,-1.0400155
ALDH7A1,501,-1.0369899
DEFA6,1671,-1.03576
BBS1,582,-1.0352536
MAP2K6,5608,-1.0341969
KIAA1324L,222223,-1.0338631
STIM2,57620,-1.0303435
PTCD2,79810,-1.0300009
DPYD,1806,-1.0280454
FAM216A,29902,-1.027843
OLFML1,283298,-1.0277062
RCBTB2,1102,-1.0272947
TPM2,7169,-1.0268989
RPL15,6138,-1.0264597
COL8A2,1296,-1.0261334
FAM204A,63877,-1.0259818
SYT15,83849,-1.0253563
MTMR9,66036,-1.0253449
PTEN,5728,-1.0253426
LINC01000,402483,-1.0229813
ANKRD18A,253650,-1.0229079
SCAND2P,54581,-1.0228938
NKAPP1,158801,-1.0227294
ITIH5,80760,-1.0218071
FBXW4P1,26226,-1.0210649
HCG4,54435,-1.0205109
UGT2B10,7365,-1.0204949
GNB5,10681,-1.0190128
AIMP1,9255,-1.0184955
SASH1,23328,-1.0184448
DBF4B,80174,-1.0162476
CRYBB3,1417,-1.0146244
FLCN,201163,-1.0103808
ST5,6764,-1.0096883
ST8SIA2,8128,-1.0059462
SCAMP1,9522,-1.0046309
KIAA1407,57577,-1.0043128
ABCA10,10349,-1.0035793
KPNA5,3841,-1.0031819
FHIT,2272,-1.0004501
MTMR7,9108,-0.9982227
PGM5,5239,-0.9979814
PACRG,135138,-0.9975806
LOC642929,642929,-0.9964827
FAM120B,84498,-0.9963697
RASEF,158158,-0.9936943
CCNG2,901,-0.9936888
MYBPC3,4607,-0.9917895
LY6G6C,80740,-0.9884508
PLEKHS1,79949,-0.9867523
LIPG,9388,-0.9860084
VTI1A,143187,-0.9837372
OPN4,94233,-0.9836837
DPY19L2P2,349152,-0.9832495
SLC4A7,9497,-0.9814109
STAG3L3,442578,-0.9808853
ZBTB7C,201501,-0.9795444
ADAM33,80332,-0.979238
PRX,57716,-0.9791983
RPH3AL,9501,-0.9788095
C12orf65,91574,-0.9783999
CXXC5,51523,-0.9781567
ADAMTS7,11173,-0.977226
NOTCH2NL,388677,-0.9756962
BTRC,8945,-0.9750108
LINC00342,150759,-0.9734569
ALDH1A2,8854,-0.9725217
AXIN2,8313,-0.9694084
BEX5,340542,-0.9681231
AHSG,197,-0.9678587
SLC25A21-AS1,100129794,-0.966665
SHBG,6462,-0.9646842
MERTK,10461,-0.9642117
PYROXD2,84795,-0.9630124
TRPC3,7222,-0.9616038
ZNF559,84527,-0.9615244
ZNF396,252884,-0.9597623
CYP4A11,1579,-0.9596519
ATP8B1,5205,-0.9595152
SRSF5,6430,-0.9587564
RABL3,285282,-0.9584653
OBFC1,79991,-0.9583364
GPM6B,2824,-0.9578257
EIF4E3,317649,-0.9576425
KLKB1,3818,-0.9565791
LINC00883,344595,-0.9565757
EPOR,2057,-0.952986
PNISR,25957,-0.9521919
TRAF3IP2-AS1,643749,-0.9519072
CYP2A7,1549,-0.9514216
TGFBR3,7049,-0.9503846
ZNF582,147948,-0.9501017
NEXN,91624,-0.9491162
WBP4,11193,-0.9477145
VSX1,30813,-0.9466366
COMMD6,170622,-0.9465031
ACSM5,54988,-0.9459592
BRINP3,339479,-0.9443698
KCND3,3752,-0.9430488
TARDBP,23435,-0.9411114
CREBBP,1387,-0.9389287
GIN1,54826,-0.9378296
DOCK3,1795,-0.9370052
NEK11,79858,-0.9360264
BCLAF1,9774,-0.9348068
LOC645752,645752,-0.9340726
LOC643733,643733,-0.933116
GHRL,51738,-0.9330977
DUSP18,150290,-0.9315495
LINC00938,400027,-0.931149
ZNF134,7693,-0.9303727
LINC00469,283982,-0.930179
RIC8B,55188,-0.9266429
RALGPS2,55103,-0.9264647
POM121L1P,25812,-0.9249976
ZNF814,730051,-0.9241505
PDE11A,50940,-0.9216802
GGT7,2686,-0.9198743
SESN1,27244,-0.9193099
JAM2,58494,-0.9181343
CCDC15,80071,-0.9177328
ADD3,120,-0.9169571
PPM1N,147699,-0.9157017
ZNF493,284443,-0.9155227
GUSBP2,387036,-0.9141734
CLK1,1195,-0.9131528
ZNF23,7571,-0.9131356
IQSEC3,440073,-0.9120493
LFNG,3955,-0.9117944
TACC1,6867,-0.9117399
ACCS,84680,-0.9116506
IL4R,3566,-0.9107685
ZMYM6,9204,-0.9099166
GDF11,10220,-0.9094945
PCED1A,64773,-0.9090218
RHOU,58480,-0.9078265
DKK2,27123,-0.9040881
SLC12A2,6558,-0.9035189
GSTO2,119391,-0.9010166
ZFP14,57677,-0.8991616
HCAR2,338442,-0.8968666
PGPEP1L,145814,-0.8958546
LOXL1-AS1,100287616,-0.8937883
PDCD4,27250,-0.8932266
DPH6,89978,-0.8930514
G6PC2,57818,-0.8915993
TTTY5,83863,-0.8902919
TMCO2,127391,-0.8889203
CTSO,1519,-0.8888415
PMP22,5376,-0.8874241
CASC3,22794,-0.8866962
MAN2C1,4123,-0.8862856
DTX3,196403,-0.8855587
SLC25A40,55972,-0.8843602
CCDC84,338657,-0.8834699
D2HGDH,728294,-0.8830761
RGPD5,84220,-0.882649
ZNF596,169270,-0.8818505
BBS2,583,-0.8817988
ZNF280D,54816,-0.8817018
WSB1,26118,-0.8816084
PCNX,22990,-0.8814683
BHLHB9,80823,-0.8808895
RUFY2,55680,-0.8801715
SAV1,60485,-0.8755807
CNKSR1,10256,-0.8745635
SLC22A23,63027,-0.874558
PPP1R12B,4660,-0.8739554
IDS,3423,-0.8732446
HUNK,30811,-0.8724916
CDHR3,222256,-0.8721961
CEP290,80184,-0.8701621
PARP10,84875,-0.8670132
KAT6B,23522,-0.8656437
IGFBP4,3487,-0.8649363
EMILIN3,90187,-0.8627002
SLC22A4,6583,-0.8617967
ERVH-4,51359,-0.8588264
TCF7,6932,-0.8587199
AHSA2,130872,-0.8578207
RNASE7,84659,-0.8575071
CACNB2,783,-0.8563101
CYP4F2,8529,-0.8547574
SREK1IP1,285672,-0.8536702
ZZEF1,23140,-0.8531284
HERC2,8924,-0.8527156
NFYC-AS1,100130557,-0.8525362
AKAP11,11215,-0.8523067
GCC2,9648,-0.8507176
LOC644450,644450,-0.8504515
L1TD1,54596,-0.8500924
SCGN,10590,-0.8486724
SIM1,6492,-0.8476152
BIRC7,79444,-0.8471756
PLEKHG6,55200,-0.8466907
WDR5B,54554,-0.8458464
GRAP,10750,-0.8437153
USP34,9736,-0.8421953
GOLGA8I,283796,-0.8409446
EGFL8,80864,-0.840611
CNTNAP3,79937,-0.8378856
SERPINB6,5269,-0.8377629
GRHL1,29841,-0.8359865
IVD,3712,-0.8353118
HPSE2,60495,-0.8351796
ZNF697,90874,-0.8343628
SLC4A9,83697,-0.8334596
