No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1567,SEMG2,6407,1,63,1.587301587
1568,SENP7,57337,1,122,0.819672131
1569,SERHL2,253190,1,63,1.587301587
1570,SERPINB8,5271,1,63,1.587301587
1571,SERPINI2,5276,1,63,1.587301587
1572,SESTD1,91404,1,63,1.587301587
1573,SETBP1,26040,1,63,1.587301587
1574,SETD2,29072,1,63,1.587301587
1575,SETDB2,83852,1,63,1.587301587
1576,SETX,23064,1,63,1.587301587
1577,SEZ6L2,26470,1,63,1.587301587
1578,SF3A3,10946,1,63,1.587301587
1579,SF3B3,23450,1,63,1.587301587
1580,SFN,2810,1,122,0.819672131
1581,SGIP1,84251,1,63,1.587301587
1582,SH3BP2,6452,1,63,1.587301587
1583,SH3GL2,6456,1,63,1.587301587
1584,SH3KBP1,30011,1,63,1.587301587
1585,SH3TC1,54436,1,63,1.587301587
1586,SHANK1,50944,1,63,1.587301587
1587,SHANK2,22941,1,63,1.587301587
1588,SHE,126669,3,63,4.761904762
1589,SHMT2,6472,1,63,1.587301587
1590,SHROOM2,357,1,63,1.587301587
1591,SHROOM3,57619,1,63,1.587301587
1592,SHROOM4,57477,1,63,1.587301587
1593,SIAE,54414,2,63,3.174603175
1594,SIAH1,6477,1,63,1.587301587
1595,SIGLEC9,27180,1,63,1.587301587
1596,SIK2,23235,1,63,1.587301587
1597,SIX4,51804,2,76,2.631578947
1598,SKA3,221150,1,63,1.587301587
1599,SLAMF1,6504,1,63,1.587301587
1600,SLC12A5,57468,1,63,1.587301587
1601,SLC13A1,6561,1,63,1.587301587
1602,SLC1A7,6512,1,63,1.587301587
1603,SLC22A10,387775,1,63,1.587301587
1604,SLC22A25,387601,1,63,1.587301587
1605,SLC24A3,57419,1,63,1.587301587
1606,SLC24A4,123041,1,63,1.587301587
1607,SLC25A13,10165,1,63,1.587301587
1608,SLC25A3,5250,1,63,1.587301587
1609,SLC25A35,399512,1,63,1.587301587
1610,SLC25A44,9673,1,63,1.587301587
1611,SLC26A7,115111,1,63,1.587301587
1612,SLC26A9,115019,1,63,1.587301587
1613,SLC2A1,6513,1,63,1.587301587
